Field,QC_Comments,Review_Comments
PXHELPRL,This table is not present in the Modified DD. Please confirm if this table should be added to the Modified DD or if it should be removed from the QC file(PXS),
PXHELPEM,This table is not present in the Modified DD. Please confirm if this table should be added to the Modified DD or if it should be removed from the QC file(PXS),
PXHELPLE,This table is not present in the Modified DD. Please confirm if this table should be added to the Modified DD or if it should be removed from the QC file(PXS),
PXHELPFI,This table is not present in the Modified DD. Please confirm if this table should be added to the Modified DD or if it should be removed from the QC file(PXS),
PXHELPRE,This table is not present in the Modified DD. Please confirm if this table should be added to the Modified DD or if it should be removed from the QC file(PXS),
PXHELPOT,This table is not present in the Modified DD. Please confirm if this table should be added to the Modified DD or if it should be removed from the QC file(PXS),
PXHELPSP,This table is not present in the Modified DD. Please confirm if this table should be added to the Modified DD or if it should be removed from the QC file(PXS),
PXSATFY,This table is not present in the Modified DD. Please confirm if this table should be added to the Modified DD or if it should be removed from the QC file(PXS),
PXPARTAG,This table is not present in the Modified DD. Please confirm if this table should be added to the Modified DD or if it should be removed from the QC file(PXS),
PXPRTAGY,This table is not present in the Modified DD. Please confirm if this table should be added to the Modified DD or if it should be removed from the QC file(PXS),
PXPTAYSP,This table is not present in the Modified DD. Please confirm if this table should be added to the Modified DD or if it should be removed from the QC file(PXS),
PXPRTAGN,This table is not present in the Modified DD. Please confirm if this table should be added to the Modified DD or if it should be removed from the QC file(PXS),
PXPTANSP,This table is not present in the Modified DD. Please confirm if this table should be added to the Modified DD or if it should be removed from the QC file(PXS),
PXCASH,This table is not present in the Modified DD. Please confirm if this table should be added to the Modified DD or if it should be removed from the QC file(PXS),
PXEZCELL,This table is not present in the Modified DD. Please confirm if this table should be added to the Modified DD or if it should be removed from the QC file(PXS),
PXSTUDY,This table is not present in the Modified DD. Please confirm if this table should be added to the Modified DD or if it should be removed from the QC file(PXS),
PXPROC,This table is not present in the Modified DD. Please confirm if this table should be added to the Modified DD or if it should be removed from the QC file(PXS),
PXVISLNG,This table is not present in the Modified DD. Please confirm if this table should be added to the Modified DD or if it should be removed from the QC file(PXS),
PXINJSD,This table is not present in the Modified DD. Please confirm if this table should be added to the Modified DD or if it should be removed from the QC file(PXS),
PXORASD,This table is not present in the Modified DD. Please confirm if this table should be added to the Modified DD or if it should be removed from the QC file(PXS),
PXTWICE,This table is not present in the Modified DD. Please confirm if this table should be added to the Modified DD or if it should be removed from the QC file(PXS),
PXSTAFF,This table is not present in the Modified DD. Please confirm if this table should be added to the Modified DD or if it should be removed from the QC file(PXS),
PXLOCATE,This table is not present in the Modified DD. Please confirm if this table should be added to the Modified DD or if it should be removed from the QC file(PXS),
PXHOURS,This table is not present in the Modified DD. Please confirm if this table should be added to the Modified DD or if it should be removed from the QC file(PXS),
PXCOUNS,This table is not present in the Modified DD. Please confirm if this table should be added to the Modified DD or if it should be removed from the QC file(PXS),
PXMEDLO,This table is not present in the Modified DD. Please confirm if this table should be added to the Modified DD or if it should be removed from the QC file(PXS),
PXMEDWE,This table is not present in the Modified DD. Please confirm if this table should be added to the Modified DD or if it should be removed from the QC file(PXS),
PXTRAIN,This table is not present in the Modified DD. Please confirm if this table should be added to the Modified DD or if it should be removed from the QC file(PXS),
PXRECORD,This table is not present in the Modified DD. Please confirm if this table should be added to the Modified DD or if it should be removed from the QC file(PXS),
PXSEND,This table is not present in the Modified DD. Please confirm if this table should be added to the Modified DD or if it should be removed from the QC file(PXS),
PXUSECEL,This table is not present in the Modified DD. Please confirm if this table should be added to the Modified DD or if it should be removed from the QC file(PXS),
PXPERCEL,This table is not present in the Modified DD. Please confirm if this table should be added to the Modified DD or if it should be removed from the QC file(PXS),
PXREMIN,This table is not present in the Modified DD. Please confirm if this table should be added to the Modified DD or if it should be removed from the QC file(PXS),
PXDIRECT,This table is not present in the Modified DD. Please confirm if this table should be added to the Modified DD or if it should be removed from the QC file(PXS),
PXVIDEO,This table is not present in the Modified DD. Please confirm if this table should be added to the Modified DD or if it should be removed from the QC file(PXS),
PXTECSUP,This table is not present in the Modified DD. Please confirm if this table should be added to the Modified DD or if it should be removed from the QC file(PXS),
PXMONIT,This table is not present in the Modified DD. Please confirm if this table should be added to the Modified DD or if it should be removed from the QC file(PXS),
PXVIDCMP,This table is not present in the Modified DD. Please confirm if this table should be added to the Modified DD or if it should be removed from the QC file(PXS),
PXPRIVAC,This table is not present in the Modified DD. Please confirm if this table should be added to the Modified DD or if it should be removed from the QC file(PXS),
PXTWOPHO,This table is not present in the Modified DD. Please confirm if this table should be added to the Modified DD or if it should be removed from the QC file(PXS),
PXCOMCEL,This table is not present in the Modified DD. Please confirm if this table should be added to the Modified DD or if it should be removed from the QC file(PXS),
PXCOMPAR,This table is not present in the Modified DD. Please confirm if this table should be added to the Modified DD or if it should be removed from the QC file(PXS),
PXSCOMM,This table is not present in the Modified DD. Please confirm if this table should be added to the Modified DD or if it should be removed from the QC file(PXS),
TATFENDT,Please confirm if this should be added to the DD or Removed from the QC File,
UDCOLDT,Please confirm if this should be added to the DD or Removed from the QC File,
UDCOLTM1,Please confirm if this should be added to the DD or Removed from the QC File,
UDCOLTM2,Please confirm if this should be added to the DD or Removed from the QC File,
BARCODE,Please confirm that this should not be present in the Modified DD,
COLLECTIONDATE,Please confirm that this should not be present in the Modified DD,
LABRECEIVEDATE,Please confirm that this should not be present in the Modified DD,
CANNABINOID,Please confirm that this should not be present in the Modified DD,
COCAINE,Please confirm that this should not be present in the Modified DD,
OPIATE,Please confirm that this should not be present in the Modified DD,
AMPHETAMINES,Please confirm that this should not be present in the Modified DD,
METHAMPEHTAMINE,Please confirm that this should not be present in the Modified DD,
BARBITURATES,Please confirm that this should not be present in the Modified DD,
BENZODIAZEPINE,Please confirm that this should not be present in the Modified DD,
METHADONE,Please confirm that this should not be present in the Modified DD,
OXYCODONE,Please confirm that this should not be present in the Modified DD,
MDMA,Please confirm that this should not be present in the Modified DD,
